epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,129.283,0.75923,0.46997,0.92896,0.97489,1,0.995,0.82782,0.81947,0.34547,0.91687,0.000148512,0.000148512,0.000148512
82,130.52,0.77108,0.49129,0.91186,0.97471,1,0.995,0.82461,0.81258,0.34477,0.91639,0.000141443,0.000141443,0.000141443
83,131.681,0.72463,0.46223,0.92365,0.97453,1,0.995,0.82124,0.81546,0.34206,0.91608,0.000134375,0.000134375,0.000134375
84,132.862,0.77002,0.49466,0.94528,0.97552,1,0.995,0.81582,0.8243,0.34541,0.91706,0.000127306,0.000127306,0.000127306
85,134.004,0.71264,0.43862,0.90752,0.97552,1,0.995,0.81582,0.8243,0.34541,0.91706,0.000120238,0.000120238,0.000120238
86,135.216,0.72728,0.4689,0.92496,0.97571,1,0.995,0.81403,0.83265,0.34475,0.91425,0.000113169,0.000113169,0.000113169
87,136.487,0.71427,0.4427,0.90019,0.976,0.99072,0.995,0.81493,0.83499,0.34498,0.91108,0.0001061,0.0001061,0.0001061
88,138.115,0.72543,0.48214,0.90366,0.97985,0.98558,0.995,0.80699,0.83217,0.34364,0.91131,9.90318e-05,9.90318e-05,9.90318e-05
89,139.501,0.73054,0.45456,0.91246,0.97985,0.98558,0.995,0.80699,0.83217,0.34364,0.91131,9.19632e-05,9.19632e-05,9.19632e-05
90,140.692,0.72576,0.44411,0.90954,0.98095,1,0.995,0.80695,0.82615,0.34178,0.91178,8.48946e-05,8.48946e-05,8.48946e-05
91,143.262,0.72088,0.45415,0.90978,0.98275,1,0.995,0.80319,0.82607,0.34245,0.91229,7.7826e-05,7.7826e-05,7.7826e-05
92,144.761,0.72185,0.4399,0.92935,0.97949,1,0.995,0.81249,0.82164,0.34759,0.91266,7.07574e-05,7.07574e-05,7.07574e-05
93,145.966,0.71752,0.43869,0.93192,0.97949,1,0.995,0.81249,0.82164,0.34759,0.91266,6.36888e-05,6.36888e-05,6.36888e-05
94,147.124,0.7175,0.44623,0.93508,0.97421,1,0.995,0.81395,0.82378,0.3534,0.91488,5.66202e-05,5.66202e-05,5.66202e-05
95,148.29,0.68019,0.43468,0.91439,0.97062,0.99262,0.995,0.80966,0.82988,0.35918,0.91766,4.95516e-05,4.95516e-05,4.95516e-05
96,149.728,0.68324,0.40784,0.90019,0.96955,0.98735,0.995,0.81682,0.83228,0.36166,0.92057,4.2483e-05,4.2483e-05,4.2483e-05
97,151.276,0.67406,0.39769,0.90813,0.96955,0.98735,0.995,0.81682,0.83228,0.36166,0.92057,3.54144e-05,3.54144e-05,3.54144e-05
98,152.597,0.66513,0.41072,0.90718,0.97103,0.98494,0.995,0.81496,0.83434,0.36402,0.92315,2.83458e-05,2.83458e-05,2.83458e-05
99,153.772,0.71707,0.39727,0.92001,0.97349,0.98342,0.995,0.8042,0.83459,0.36495,0.92375,2.12772e-05,2.12772e-05,2.12772e-05
100,154.946,0.70576,0.42183,0.92712,0.9749,0.98229,0.995,0.80349,0.83601,0.36477,0.92421,1.42086e-05,1.42086e-05,1.42086e-05
